,name,start,end,size
332,1e6-idx.duckdb,2441216,6635520,4194304
333,6e6-idx.duckdb,1916928,2965504,1048576
334,2e6.duckdb,1916928,2965504,1048576
335,5e5-idx.duckdb,1916928,2965504,1048576
336,6e6-idx.duckdb,2965504,7159808,4194304
337,2e6.duckdb,2965504,7159808,4194304
338,2e5-idx.duckdb,1916928,2965504,1048576
339,4e6-idx.duckdb,2441216,6635520,4194304
340,6e6.duckdb,1916928,2965504,1048576
341,5e5-idx.duckdb,2965504,7159808,4194304
342,2e5-idx.duckdb,2965504,7159808,4194304
343,2e6-idx.duckdb,2703360,6897664,4194304
344,6e6.duckdb,2965504,7159808,4194304
345,5e5-idx.duckdb,7340032,7356416,16384
346,4e6.duckdb,1916928,2965504,1048576
347,5e5-idx.duckdb,7356416,7421952,65536
348,5e5-idx.duckdb,7421952,7684096,262144
349,4e6-idx.duckdb,1916928,2965504,1048576
350,4e6.duckdb,7340032,7356416,16384
351,1e6-idx.duckdb,1916928,2965504,1048576
352,4e6.duckdb,7356416,7421952,65536
353,4e6.duckdb,7421952,7684096,262144
354,4e6-idx.duckdb,2965504,7159808,4194304
355,1e6-idx.duckdb,2965504,7159808,4194304
356,2e6-idx.duckdb,7340032,7356416,16384
357,2e6-idx.duckdb,7356416,7421952,65536
358,2e6-idx.duckdb,7421952,7684096,262144
359,1e6-idx.duckdb,7340032,7356416,16384
360,1e6-idx.duckdb,7356416,7421952,65536
361,4e6-idx.duckdb,7340032,7356416,16384
362,1e6-idx.duckdb,7421952,7684096,262144
363,4e6-idx.duckdb,7356416,7421952,65536
364,4e6-idx.duckdb,7421952,7684096,262144
